MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT% ,OREB,DREB,REB,AST,STL,BLK,TOV,PF
"FEB 11, 2017 - CLE vs. DEN",W,240,125,46,84,54.8,15,30,50,18,22,81.8,8,37,45,30,9,3,15,16
"FEB 09, 2017 - CLE @ OKC",L,240,109,38,79,48.1,10,21,47.6,23,30,76.7,5,30,35,14,9,6,16,14
"FEB 08, 2017 - CLE @ IND",W,240,132,46,84,54.8,16,36,44.4,24,26,92.3,5,34,39,24,7,5,9,16
"FEB 06, 2017 - CLE @ WAS",W,265,140,49,92,53.3,19,38,50,23,28,82.1,12,34,46,31,7,2,20,26
"FEB 04, 2017 - CLE @ NYK",W,240,111,41,84,48.8,16,40,40,13,18,72.2,12,37,49,20,3,0,15,19
"FEB 01, 2017 - CLE vs. MIN",W,240,125,48,89,53.9,15,37,40.5,14,22,63.6,12,36,48,37,10,10,10,13
"DEC 31, 2016 - CLE @ CHA",W,240,121,43,85,50.6,14,31,45.2,21,25,84,8,27,35,17,6,1,6,17
"DEC 29, 2016 - CLE vs. BOS",W,240,124,43,83,51.8,14,38,36.8,24,33,72.7,13,33,46,29,7,3,18,16
"DEC 26, 2016 - CLE @ DET",L,240,90,30,79,38,11,28,39.3,19,23,82.6,10,37,47,19,8,3,21,23
"DEC 25, 2016 - CLE vs. GSW",W,240,109,37,95,38.9,12,35,34.3,23,32,71.9,18,26,44,20,14,2,12,19
"DEC 23, 2016 - CLE vs. BKN",W,240,119,45,99,45.5,8,35,22.9,21,24,87.5,11,40,51,28,12,4,11,20
"DEC 21, 2016 - CLE vs. MIL",W,240,113,43,87,49.4,15,27,55.6,12,19,63.2,9,33,42,30,3,7,11,20
"DEC 20, 2016 - CLE @ MIL",W,265,114,37,91,40.7,17,40,42.5,23,27,85.2,9,34,43,19,5,2,10,21
"DEC 17, 2016 - CLE vs. LAL",W,240,119,46,89,51.7,15,33,45.5,12,18,66.7,11,33,44,30,8,3,8,12
"DEC 14, 2016 - CLE @ MEM",L,240,85,28,75,37.3,9,25,36,20,31,64.5,7,32,39,10,10,2,11,16
"DEC 13, 2016 - CLE vs. MEM",W,240,103,37,81,45.7,12,31,38.7,17,23,73.9,10,36,46,21,8,4,17,16
"DEC 10, 2016 - CLE vs. CHA",W,240,116,42,73,57.5,13,31,41.9,19,28,67.9,7,33,40,25,8,2,17,24
"DEC 09, 2016 - CLE vs. MIA",W,240,114,46,83,55.4,9,24,37.5,13,19,68.4,11,36,47,23,7,9,11,16
"DEC 07, 2016 - CLE @ NYK",W,240,126,39,80,48.8,22,40,55,26,31,83.9,10,36,46,23,11,4,12,18
"DEC 05, 2016 - CLE @ TOR",W,240,116,40,84,47.6,14,32,43.8,22,27,81.5,13,35,48,21,4,3,14,21
"DEC 02, 2016 - CLE @ CHI",L,240,105,45,83,54.2,10,26,38.5,5,10,50,6,27,33,30,5,1,18,15
"DEC 01, 2016 - CLE vs. LAC",L,240,94,28,69,40.6,9,24,37.5,29,39,74.4,6,30,36,12,5,3,18,24
"APR 12, 2017 - CLE vs. TOR",L,240,83,28,76,36.8,10,37,27,17,24,70.8,10,32,42,20,5,7,15,14
"APR 10, 2017 - CLE @ MIA",L,265,121,44,89,49.4,14,35,40,19,22,86.4,7,40,47,19,7,4,21,25
"APR 09, 2017 - CLE @ ATL",L,265,125,45,98,45.9,19,46,41.3,16,20,80,13,40,53,28,4,3,14,27
"APR 07, 2017 - CLE vs. ATL",L,240,100,39,81,48.1,9,36,25,13,17,76.5,3,35,38,23,5,3,13,10
"APR 05, 2017 - CLE @ BOS",W,240,114,43,92,46.7,11,36,30.6,17,18,94.4,13,38,51,19,7,5,10,26
"APR 04, 2017 - CLE vs. ORL",W,240,122,44,82,53.7,18,36,50,16,21,76.2,5,37,42,30,9,3,12,18
"APR 02, 2017 - CLE vs. IND",W,290,135,47,95,49.5,18,43,41.9,23,33,69.7,15,41,56,29,7,4,13,19
